year,claim,ret,dgrowth,pd
1987,small,-0.16738475063780167,0.053833871853851356,74.37563065061178
1988,small,0.1424996867766828,0.09278237726729799,76.44534798281131
1989,small,0.04261622274591281,0.08385313825436547,72.31399066950321
1990,small,-0.3035136047664144,-0.08149274604884638,53.79355118088677
1991,small,0.44523397752516636,-0.30636388516584456,104.49936595450778
1992,small,0.18041191695024672,-0.061742755009496664,130.11475885778592
1993,small,0.16136899117666204,-0.018867173203803267,152.91513791855533
1994,small,-0.07097190732335612,0.1090808307787603,126.40990550162431
1995,small,0.30971667555113247,0.11231741393372485,146.86393646535996
1996,small,0.14151423901906846,0.2585425855531345,128.42249129243362
1997,small,0.21639404100607718,0.029466448162814407,150.57753071099594
1998,small,-0.0828061656335759,-0.05865889059621621,145.50346427329802
1999,small,0.37685578400746333,0.21150678967278425,160.91441564676794
2000,small,-0.08170771822144662,0.19464781408539533,120.74700392290733
2001,small,0.26152482535122257,0.28839306928712016,113.07273602482387
2002,small,-0.1290044638945298,-0.2374855766128401,123.956821938066
2003,small,0.7176805066686169,0.27418165344916945,160.54599986042334
2004,small,0.11925914872398669,0.20640222258959096,145.08149935447886
2005,small,0.0028847488253653797,-0.01847725798657862,147.1562199260866
2006,small,0.14234011130948487,0.23060759459614877,132.41880407973557
2007,small,-0.10810325637375895,0.2336659661093532,92.57780891452313
2008,small,-0.420581382399255,-0.16765107871398577,62.66250467793427
2009,small,0.37789004624725786,-0.36440727189947575,123.02981069305243
2010,small,0.26686824640834916,0.25878452902380245,119.17063418521936
2011,small,-0.13671905872828793,-0.034793046878788925,105.5763639737422
2012,small,0.15021953717206027,0.7605701336880326,55.72539080158047
2013,small,0.4536759502897023,-0.4609433223523802,127.27333752255436
2014,small,-0.001635233988847129,0.013894341058335868,124.2862967249164
2015,small,-0.08368905755738709,0.19805960636283348,92.48426859769432
1930,large,-0.23272333674117884,-0.05062673664075171,16.893275978132834
1931,large,-0.36302937423372894,-0.0840142511376474,11.034405729792137
1932,large,0.02296321684785685,-0.33425707851555647,14.707773988522472
1933,large,0.553504216498764,-0.17111571093398525,25.927150713125904
1934,large,-0.02858411956771678,0.07374591921156559,22.389103501795088
1935,large,0.4098854921552808,0.06744657482017491,28.25283012228449
1936,large,0.29440325708892634,0.3766944426290316,23.98943963354928
1937,large,-0.35080664627064473,0.027926900584749226,14.341230496179886
1938,large,0.2947668821938194,-0.41424878008593014,26.925886764492958
1939,large,0.04421189903083156,0.20045750096756543,21.93107990612507
1940,large,-0.0824660062933037,0.09397297202199295,17.299015514603056
1941,large,-0.16130654035526415,0.01186557920418696,13.397656368021984
1942,large,0.025700946616197706,-0.2752969363838784,16.94971142500868
1943,large,0.14483544853797792,-0.08951585706862542,20.190699203525284
1944,large,0.1191577090789937,0.018173240736874097,21.11581453297558
1945,large,0.2788139157038796,-0.032064528515170165,26.750697828089706
1946,large,-0.11911111090096393,-0.017549969755984107,23.034196414288996
1947,large,-0.0497433903145309,0.09118451079739742,18.936152661754114
1948,large,-0.026461573551353035,0.0671829624689344,16.23186702543661
1949,large,0.20584713207773553,0.11971253490694678,16.23176208920576
1950,large,0.27734806762639397,0.2075323785190294,15.724868867624476
1951,large,0.1404039634797416,-0.10300568377609204,18.799910663372117
1952,large,0.11880776412921601,-0.0038701503565052864,20.02984156643528
1953,large,-0.0010598531329042427,0.006378029466950874,18.83895550782186
1954,large,0.47748523757704775,0.0787285863751479,24.529139881038894
1955,large,0.2657651353930932,0.09960284814788137,27.00127176199251
1956,large,0.06431330517355227,0.034172363637723774,26.741488489918684
1957,large,-0.11953888109224087,0.012592419385049902,22.32324816576243
1958,large,0.38870727898481006,-0.03835995354656638,31.005680454912774
1959,large,0.10300382079004144,0.026937976167787675,32.241535375782604
1960,large,-0.005427520389540086,-0.00487742740459271,31.16464225583037
1961,large,0.25062556615211706,0.034626159088340575,36.56873027897376
1962,large,-0.0984669686563936,0.049221597276822654,30.347155029712148
1963,large,0.20795422208252123,0.06648372942153292,33.22133105155161
1964,large,0.13993257701658912,0.06646769468306596,34.38395008810662
1965,large,0.0892710043070224,0.06467020305314923,34.06248340054893
1966,large,-0.1210103119239424,-0.005203898294409828,29.115109922012294
1967,large,0.18756111166609735,-0.013325477040951196,33.97615445838073
1968,large,0.05318342959621902,0.026248997897002434,33.79690062688062
1969,large,-0.1102397805724038,-0.004312817626494103,29.236299474935542
1970,large,-0.01721181060521626,-0.05131255159106884,29.125877733172754
1971,large,0.09548366982153755,-0.08018565029204827,33.50935872494323
1972,large,0.16145119147951803,-0.028736714570835195,38.965496597115894
1973,large,-0.18764576116701026,-0.024269504347659385,31.488003542360154
1974,large,-0.34469529091783013,-0.03539123658652789,20.50123003879875
1975,large,0.2394753757896837,-0.0324104584316027,25.203022215272703
1976,large,0.15749476479043234,0.058444988321695604,26.44904269384466
