year,dc,dd,rm,log_pd,rf
1981,0.0038695083198403424,-0.008025556163790304,-0.11843935872956735,3.024597827946093,0.05941910178610728
1982,0.005468359444545712,0.010464671277070847,0.16016436307430193,3.110039339001024,0.052490204245470455
1983,0.03134789506152824,-0.0071299963572966085,0.1811963960578633,3.24408959489378,0.04889378191392836
1984,0.03044821888401561,0.005320802147717574,-0.007491106146292115,3.188563014685133,0.06338286405157036
1985,0.03031618544332204,0.02688952120739141,0.26608828293733144,3.359212926676129,0.041461647659302006
1986,0.023751442370041786,0.06676446705318884,0.1431837395179636,3.3930666886957295,0.02766075121832016
1987,0.02094843713781991,0.03606500956994951,-0.024819121275078904,3.300059469832453,0.04168632902012327
1988,0.025491576002067973,0.1259066760728944,0.12579172331133925,3.2529687398927885,0.025095716540659674
1989,0.019446437997921784,0.0031163807201268767,0.22719068748342908,3.4196757888624414,0.04298243512343888
1990,0.008770111956945215,-0.044584402585304606,-0.11481738803377395,3.3064838008416695,0.036793799390578225
1991,-0.007205128846559994,-0.05126807474849926,0.2965096557200817,3.586975414092564,0.011921839127901734
1992,0.015832154154647782,-0.03246983700485795,0.05992616461317457,3.6502570557682668,0.008266364341333692
1993,0.014769363326297302,-0.003969749217597629,0.0859400539911035,3.7113603867523604,0.003781309361970908
1994,0.022113804607398535,0.004354998006798283,-0.0331063917230201,3.6475614877688822,0.01303799030696733
1995,0.014831008270816959,0.04389564929634515,0.3228210543851704,3.8598375842093167,0.028546338149351178
1996,0.016845639558638048,0.010812120278373749,0.17276483537164866,3.9883106087407114,0.02350238905632064
1997,0.018185464085181735,0.027730696487366258,0.28180622534936184,4.192098141647981,0.01992503564112857
1998,0.028823141379975326,0.02377458905341756,0.20310765052310065,4.3387508168004345,0.027369614432530578
1999,0.03290651566468039,0.04631392548112179,0.2198221712999977,4.478136739201405,0.024687043580175816
2000,0.028957342658209484,-0.09379883712059645,-0.14067549105842292,4.409221851465164,0.028792629994677972
2001,0.009398526227622384,-0.03803282552607379,-0.12635230450139823,4.298813203815189,0.011242088661385135
2002,0.008571229596954666,-0.005653196366737889,-0.226568124083543,4.031402352886226,-0.000817724964928955
2003,0.019096618409800037,0.10340631400983735,0.3068529786341865,4.177767090690507,-0.010424786625323666
2004,0.022056069951186252,0.22703462232228566,0.09408164586672196,4.021439252017732,-0.006575040654431778
2005,0.022949713407512284,-0.013905118818641204,0.037590004927672505,4.054123061742479,0.0003021799397357715
2006,0.018860683989736948,0.11951282788290185,0.13358145319514736,4.041207646478065,0.013978597650232273
2007,0.009899494799937791,0.09104678099269692,0.030570531971169546,3.9612916381884693,0.020959495444417657
2008,-0.008245446750787089,-0.004978010819452483,-0.383028701231361,3.4597789041164444,-0.012691707846700165
2009,-0.019111534625064763,-0.2106438555516278,0.2786455134093022,3.891511327501464,-0.005685985528353876
2010,0.006669341221863689,0.051397749816657345,0.15970336435897892,3.9670505201216253,-0.02086193171051255
2011,0.0038334562386372895,0.06728859367977924,-0.03955862646222674,3.8386135903924368,-0.014408171915097655
2012,-0.0006092092068836763,0.22222283456679492,0.1380663742560453,3.7208868763495695,-0.02245771589440518
2013,0.007931238874812507,0.0022061677388560685,0.2850467374817933,3.9480559593274887,-0.015858164727947176
2014,0.017064707202087526,0.11063137020226521,0.09665861513655871,3.9089468894089356,-0.014935961282051366
2015,0.023100569598964782,0.05880297716512961,-0.02380151495596794,3.804398135949376,-0.01058978554877608
